score,tier,tracked,slug,display_name,youtube_url,youtube_handle,youtube_channel_id,youtube_type,parent_channel,tags,voditelji,subscribers,subscribers_as_of,episodes_estimate,first_episode,last_episode,avg_duration_min,frequency,status,tier_research,data_quality,sources,num_sources,score_activity,score_catalog,score_audience,score_format,score_substance,score_verification,score_recency,review_needed,review_reason,reason_disabled,permanently_excluded,candidate_phase,min_duration_override,notes
35,📦 weak,no,kuzimo-filmove,Kužimo filmove?,,,,channel,,culture,Dorian Sabo; Bruno Koić,,,30,2019-03,,,,paused,4,partial,claude-opus,1,5,6,4,15,4,1,0,,,PAUZIRAN. Arhiviran radi povijesnog konteksta.,,,,Pauziran. Film.
35,📦 weak,no,putoholicari,Putoholicari,https://www.youtube.com/@Putoholicari,@Putoholicari,,channel,,travel; tourism,,,,,,,,,unknown,2,unverified,report,1,8,4,4,15,4,0,0,,,,,,,podcast.hr/p/putoholicari
35,📦 weak,no,turizam24,Turizam24,https://www.youtube.com/channel/UC3aUDgP7MwQuHxedh7cNwSA,,,channel,,tourism,,,,,,,,,unknown,2,unverified,report,1,8,4,4,15,4,0,0,,,,,,,podcast.hr/p/turizam24
35,📦 weak,no,zapozorje-podcast,Zapozorje Podcast,https://www.youtube.com/@zapozorjepodcast6776,@zapozorjepodcast6776,,channel,,,,,,,,,,,unknown,2,unverified,report,1,8,4,4,15,4,0,0,,,Iz podcast.hr liste — istražiti tematiku i format.,,,,podcast.hr/p/zapozorje
33,📦 weak,no,libos-posla,Libos Posla,,,,channel,,political,Igor Vuk,,,,2019-02,,,,paused,4,partial,claude-opus,1,5,4,4,15,4,1,0,,,PAUZIRAN. Arhiviran radi povijesnog konteksta.,,,,Pauziran. Politika/slobode. Igor Vuk je također povezan s 'The Podcast' projektom.
31,📦 weak,no,brutzcast,BrützCast,,,,channel,Good Game Show,gaming,Duki420; Marko Ševa,1000,,20,2018,2020-12,,,inactive,4,partial,claude-opus,1,0,6,5,15,4,1,0,,,NEAKTIVAN od 12/2020. Arhiviran radi povijesnog konteksta.,,,,Neaktivan od prosinca 2020. Gaming/esport.
24,📦 weak,no,heinzelova-33,Heinzelova 33,,,,audio-primary,,technology; entrepreneurship,Viktor Marohnić,,,,,,,,paused,4,partial,claude-opus,1,5,4,4,6,4,1,0,,,PAUZIRAN audio podcast. Arhiviran radi povijesnog konteksta.,,,,Pauziran. Tech/poduzetništvo. Viktor Marohnić iz Five (sada Endeavor).
18,❌ very-low,no,luda-ekipa,Luda ekipa (REJECTED — nije zaseban podcast),,,,channel,,,,,,,,,,,rejected,,verified,report; gemini; claude-opus,3,0,4,4,0,4,6,0,,,REJECTED: nije zaseban podcast brand.,YES,,,DUAL REJECTION RATIONALE: (1) Gemini 03/2026 = identificiran kao dječji zabavni kanal 'Stefan JUTJUBER' s glumljenim skečevima ('Kriminalac vs. Policajac'). (2) Claude Opus 04/2026 = 'Luda ekipa' je kolokvijalni naziv za tim Podcast Inkubatora korišten u članku Dalmatinskog portala iz 01/2025. 362K pretplatnika koji su navedeni u seed istraživanju zapravo pripada Podcast Inkubatoru u tom trenutku. Inicijalno klasificiran u deep_research_prompt-u kao Tier 1 #2. PERMANENTNO ISKLJUČEN iz podcast...
,,YES,cryptoverse-kripto-caffe,Cryptoverse.hr — Kripto caffe,https://www.youtube.com/playlist?list=PLsx7E4xTT6fHIKuIkQzgfPRErNd9vevmb,,,playlist,Cryptoverse,technology; finance; interview,Veljko Skenderija,,,55,,,40,,active,3,verified,github-issues-2026-05,1,,,,,,,,,,,,,,"Intervju tjedna s relevantnim sudionicima blockchain/kripto trzista u Hrvatskoj. 55 epizoda, prosjek ~40 min. Prijavljeno kroz GitHub issue #4."
,,YES,founder-talks,Founder Talks (Promocija znanosti),https://www.youtube.com/playlist?list=PLCbPTnlOFH9nECXcSmBkcCKVWO9o_lDXS,,,playlist,Promocija znanosti,entrepreneurship; business; technology; interview,,,,5,,,47,,active,3,verified,github-issues-2026-05,1,,,,,,,,,,,,,,"Osnivaci hrvatskih startupa dijele uspjehe i padove; cilj inspirirati studente i poduzetnistvo na sveucilistima. 5 epizoda, prosjek ~47 min. Prijavljeno kroz GitHub issue #5."
,,YES,launched,Launched by RevenueCat,https://www.youtube.com/playlist?list=PLeRhggrXOh5EXa01b_9GN2cZXZagWEEv7,,,playlist,,technology; indie-dev; english,,,,,,,,,active,3,full,,0,,,,,,,,,,,,,,"RevenueCat podcast (indie app devs). Engleski (Canary EN->HR). Ingestira se preko direktnog MP3 (beamly soundLink), ne YouTube. ~98 epizoda."
,,YES,mladifest-hrvatska,Mladifest Hrvatska,https://www.youtube.com/@MladifestHrvatska/videos,@MladifestHrvatska,,channel,,religious-catholic; evangelization; testimonies,,,,,2019-03,2026-07,35,,active,3,partial,current,1,,,,,,,,,,,,,,"Katolički susret mladih (Sisak, godišnji festival); kateheze, propovijedi, svjedočanstva i razgovori. ~6.3k pretplatnika, 184 videa (62 duljih od 15 min). Onboardan 2026-07-16."
,,YES,subclub,Sub Club by RevenueCat,https://www.youtube.com/playlist?list=PLAY2pJLxYch32IeVqfQV1xOpFQZP9J_YF,,,playlist,,technology; business; english,,,,,,,,,active,3,full,,0,,,,,,,,,,,,,,"RevenueCat podcast o subscription/app monetizaciji. Engleski (Canary EN->HR). Ingestira se preko direktnog MP3 (beamly soundLink), ne YouTube. ~167 epizoda."
